,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
70,7.9883 ,4.5856 ,3.8062 ,1.8421 ,2.0175 ,3.4043 ,3.3951 ,1.3559 ,4.7143 ,2.1111 ,6.7123 ,2.7273 ,8.2500 ,3.0769 ,10.0000 ,0.9091 
71,4.6990 ,1.4917 ,1.3495 ,10.0000 ,1.4035 ,0.8511 ,1.9753 ,2.7119 ,5.3333 ,1.3333 ,2.3288 ,3.6364 ,9.2500 ,5.3846 ,1.5625 ,7.7273 
72,2.2907 ,1.2155 ,8.7197 ,0.6579 ,3.6842 ,4.7872 ,1.1111 ,4.5763 ,10.0000 ,3.1111 ,4.6575 ,2.7273 ,10.0000 ,2.8205 ,0.7813 ,0.4545 
73,2.9369 ,9.2818 ,10.0000 ,1.9737 ,5.3509 ,10.0000 ,10.0000 ,6.4407 ,5.7619 ,9.1111 ,10.0000 ,0.0000 ,3.5000 ,10.0000 ,1.2500 ,0.0000 
74,4.8752 ,2.5967 ,3.4256 ,2.5000 ,6.1404 ,8.2979 ,1.7901 ,10.0000 ,5.0476 ,9.5556 ,3.6986 ,10.0000 ,5.7500 ,1.7949 ,2.0313 ,0.9091 
75,8.0029 ,1.9890 ,1.2457 ,0.3947 ,0.5263 ,1.3830 ,0.7407 ,3.2203 ,1.8571 ,0.3333 ,0.9589 ,1.8182 ,3.5000 ,1.2821 ,0.6250 ,0.0000 
76,5.6681 ,2.6519 ,3.0796 ,1.3158 ,2.4561 ,1.5957 ,0.9877 ,6.1017 ,3.0952 ,2.1111 ,1.2329 ,0.9091 ,10.0000 ,2.0513 ,0.9375 ,0.4545 
77,7.1953 ,2.5414 ,1.5571 ,5.7895 ,3.6842 ,4.4681 ,3.3951 ,4.9153 ,2.5714 ,2.8889 ,4.3836 ,4.5455 ,1.2500 ,1.5385 ,0.9375 ,0.4545 
78,9.9119 ,2.8177 ,0.7958 ,2.8947 ,1.0526 ,2.8723 ,1.1728 ,3.5593 ,4.3333 ,0.8889 ,1.3699 ,6.3636 ,2.0000 ,0.7692 ,0.3125 ,0.4545 
79,7.1659 ,2.2652 ,7.6471 ,1.5789 ,4.2105 ,5.8511 ,0.4321 ,3.8983 ,2.9524 ,2.3333 ,4.1096 ,6.3636 ,4.7500 ,2.3077 ,0.4688 ,1.8182 
80,10.0000 ,1.8785 ,2.6990 ,4.2105 ,3.4211 ,3.7234 ,2.2222 ,4.5763 ,3.6667 ,4.1111 ,1.7808 ,3.6364 ,2.2500 ,0.7692 ,0.1563 ,0.4545 
81,7.0191 ,10.0000 ,9.0311 ,1.3158 ,3.5965 ,6.1702 ,1.9753 ,3.2203 ,4.0952 ,3.3333 ,1.9178 ,4.5455 ,3.2500 ,2.3077 ,1.0938 ,0.9091 
82,6.1674 ,3.2597 ,2.0415 ,1.1842 ,2.1053 ,4.4681 ,1.2346 ,3.3898 ,3.0952 ,1.3333 ,3.5616 ,2.7273 ,3.7500 ,2.8205 ,0.0000 ,0.4545 
83,6.1968 ,3.9227 ,1.5917 ,3.8158 ,10.0000 ,8.7234 ,2.0370 ,2.7119 ,1.8095 ,3.1111 ,1.7808 ,2.7273 ,2.2500 ,3.5897 ,0.4688 ,8.6364 
84,8.1351 ,2.5967 ,1.6263 ,2.8947 ,2.1053 ,4.2553 ,1.0494 ,0.6780 ,2.2381 ,1.8889 ,1.0959 ,0.0000 ,2.7500 ,1.5385 ,0.4688 ,4.5455 
85,5.4332 ,1.9890 ,3.8408 ,3.4211 ,1.8421 ,3.0851 ,2.9012 ,0.5085 ,1.0952 ,2.2222 ,0.9589 ,1.8182 ,2.5000 ,2.5641 ,0.6250 ,2.2727 
86,7.7680 ,1.4365 ,1.4187 ,10.0000 ,2.4561 ,4.2553 ,0.2469 ,1.0169 ,1.9524 ,0.4444 ,1.9178 ,0.0000 ,2.7500 ,5.1282 ,0.6250 ,3.6364 
87,6.2555 ,2.0994 ,1.6263 ,3.1579 ,2.0175 ,4.6809 ,2.2840 ,1.0169 ,0.9048 ,1.5556 ,1.7808 ,0.0000 ,1.0000 ,1.5385 ,0.1563 ,9.0909 
88,3.3774 ,3.8674 ,1.8685 ,4.6053 ,1.3158 ,3.4043 ,1.3580 ,1.8644 ,1.1429 ,1.2222 ,1.6438 ,0.9091 ,2.0000 ,2.3077 ,0.7813 ,10.0000 
89,3.3480 ,6.5193 ,1.2803 ,2.8947 ,2.1930 ,0.8511 ,2.2222 ,0.5085 ,0.7619 ,1.4444 ,1.2329 ,0.0000 ,0.5000 ,6.9231 ,0.0000 ,2.7273 
90,2.1439 ,2.0994 ,3.2872 ,0.7895 ,3.4211 ,1.2766 ,0.9877 ,0.5085 ,0.4286 ,0.4444 ,1.3699 ,0.0000 ,0.5000 ,2.0513 ,0.3125 ,0.0000 
